id,domain,heard,correct,notes
3075,water_supply,abe samarsbal mrt on nahi ho rha PA ch wale gusa hain water pruffing done,अबे सबमर्सिबल मोटर ऑन नहीं हो रहा पीएचई वाले गुस्सा हैं वाटरप्रूफिंग डन।,submersible/PHE/waterproofing hallucinations; speaker_format: supervisor_to_ae
3076,water_supply,haan samarseb motor reading le lo Peach he ae aayega water proff area saaf rakh,हाँ सबमर्सिबल मोटर रीडिंग ले लो पीएचई एई आएगा वाटरप्रूफ एरिया साफ़ रख।,submersible/PHE/waterproof hallucinations; speaker_format: je_to_contractor
3077,mixed,arey Jalgam site pe Kong create truck fas gaya Juicy se khincho,अरे जल निगम साइट पे कंक्रीट ट्रक फँस गया जेसीबी से खींचो।,Jal Nigam/concrete/JCB hallucinations; speaker_format: supervisor_to_contractor
3078,mixed,sir Delhiगढ ka Papa line HDFC joint se leak hai Shattering board laao,सर जल निगम का पाइप लाइन एचडीपीई जॉइंट से लीक है शटरिंग बोर्ड लाओ।,Jal Nigam/pipeline/HDPE/shuttering hallucinations; speaker_format: je_to_ae
3079,mixed,abe teacher ka Pea mint fas gaya Peach he wale samarseb motor le gaye,अबे ठेकेदार का पेमेंट फँस गया पीएचई वाले सबमर्सिबल मोटर ले गए।,contractor/payment/PHE/submersible hallucinations; speaker_format: clerk_to_je
3080,mixed,haan Take a dar ne Poke lane mangai hai extra vision jaldi karna hai,हाँ ठेकेदार ने पोकलेन मंगाई है एक्सावेशन जल्दी करना है।,contractor/Poclain/excavation hallucinations; speaker_format: site_engineer_to_ae
3081,mixed,ruk Jalnam walo ka Pine line Flash fitting me issue hai JSB ko bulao,रुक जल निगम वालों का पाइप लाइन फ्लैंज फिटिंग में इशू है जेसीबी को बुलाओ।,Jal Nigam/pipeline/flange/JCB hallucinations; speaker_format: supervisor_to_contractor
3082,mixed,sun bhai Con create plant band hai Highway se Mad real mangwa lo,सुन भाई कंक्रीट प्लांट बंद है हाइवा से मटेरियल मंगवा लो।,concrete/Hyva/material hallucinations; speaker_format: contractor_to_je
3083,mixed,arey Jalgam ae check karega 5 pin leakage em bi book sath rakhna,अरे जल निगम एई चेक करेगा पाइप लाइन लीकेज एमबी बुक साथ रखना।,Jal Nigam/pipeline/MB book hallucinations; speaker_format: je_to_clerk
3084,mixed,sir Peach he officer ne samarsbal mrt reject ki Pay mint rok di teacher ki,सर पीएचई अफसर ने सबमर्सिबल मोटर रिजेक्ट की पेमेंट रोक दी ठेकेदार की।,PHE/submersible/payment/contractor hallucinations; speaker_format: ae_to_clerk
3085,mixed,abe Delhiगढ walo ko bol Papa line ka Ball khol de water proff room dry hai,अबे जल निगम वालों को बोल पाइप लाइन का वाल्व खोल दे वाटरप्रूफ रूम ड्राई है।,Jal Nigam/pipeline/valve/waterproof hallucinations; speaker_format: site_engineer_to_labor
3086,mixed,haan Kong create test fail Why brater operator ko hajri mat dena,हाँ कंक्रीट टेस्ट फेल वाइब्रेटर ऑपरेटर को हाज़िरी मत देना।,concrete/vibrator hallucinations; speaker_format: je_to_supervisor
3087,mixed,ruk JSB ka diesel bill Take a dar ko bhej Pea mint adjust hoga,रुक जेसीबी का डीजल बिल ठेकेदार को भेज पेमेंट एडजस्ट होगा।,JCB/contractor/payment hallucinations; speaker_format: clerk_to_je
3088,mixed,sun Jalnam HTTP pipe kam pad rhi Jalgam store se laao,सुन जल निगम एचडीपीई पाइप कम पड़ रही जल निगम स्टोर से लाओ।,Jal Nigam/HDPE hallucinations; speaker_format: supervisor_to_contractor
3089,mixed,arey samarseb motor on kar PA ch walo ka Pine line hydrotest hai,अरे सबमर्सिबल मोटर ऑन कर पीएचई वालों का पाइप लाइन हाइड्रोटेस्ट है।,submersible/PHE/pipeline hallucinations; speaker_format: je_to_operator
3090,mixed,sir Con create dal gya Stuttering mat kholna teacher aayega kal,सर कंक्रीट ढल गया शटरिंग मत खोलना ठेकेदार आएगा कल।,concrete/shuttering/contractor hallucinations; speaker_format: supervisor_to_ae
3091,mixed,abe Juicy aur Poke lane dono kharab extra vision koun karega bhai,अबे जेसीबी और पोकलेन दोनों खराब एक्सावेशन कौन करेगा भाई?,JCB/Poclain/excavation hallucinations; speaker_format: contractor_to_je
3092,mixed,haan Jalgam 5 pin project ka Pay mint aaya em bi book clear kar,हाँ जल निगम पाइप लाइन प्रोजेक्ट का पेमेंट आया एमबी बुक क्लियर कर।,Jal Nigam/pipeline/payment/MB book hallucinations; speaker_format: ae_to_clerk
3093,mixed,ruk Delhiगढ Papa line HDFC pipe Highway me load karwa de,रुक जल निगम पाइप लाइन एचडीपीई पाइप हाइवा में लोड करवा दे।,Jal Nigam/pipeline/HDPE/Hyva hallucinations; speaker_format: supervisor_to_labor
3094,mixed,sun teacher bol raha Kong create dhalai me Why brater kharab tha,सुन ठेकेदार बोल रहा कंक्रीट ढलाई में वाइब्रेटर खराब था।,contractor/concrete/vibrator hallucinations; speaker_format: je_to_ae
3095,mixed,arey Peach he walo ne samarsbal mrt lagai par water pruffing kachha hai,अरे पीएचई वालों ने सबमर्सिबल मोटर लगाई पर वाटरप्रूफिंग कच्चा है।,PHE/submersible/waterproofing hallucinations; speaker_format: site_engineer_to_je
3096,mixed,sir Jalnam Flash joint fail JSB se dubara extra vision karao,सर जल निगम फ्लैंज जॉइंट फेल जेसीबी से दुबारा एक्सावेशन कराओ।,Jal Nigam/flange/JCB/excavation hallucinations; speaker_format: ae_to_contractor
3097,mixed,abe Take a dar ko bata Con create ka Met real khatam hai,अबे ठेकेदार को बता कंक्रीट का मटेरियल ख़त्म है।,contractor/concrete/material hallucinations; speaker_format: supervisor_to_clerk
3098,mixed,haan Juicy operator hajri mang rha Pea mint usko cash de do,हाँ जेसीबी ऑपरेटर हाज़िरी मांग रहा पेमेंट उसको कैश दे दो।,JCB/payment hallucinations; speaker_format: contractor_to_clerk
3099,mixed,ruk Jalgam walo ka Ball fitting theek kar Pine line pressure drop hai,रुक जल निगम वालों का वाल्व फिटिंग ठीक कर पाइप लाइन प्रेशर ड्राप है।,Jal Nigam/valve/pipeline hallucinations; speaker_format: je_to_supervisor
3100,mixed,sun Delhiगढ bill me HDFC pipe ka em bi book entry baki hai,सुन जल निगम बिल में एचडीपीई पाइप का एमबी बुक एंट्री बाकी है।,Jal Nigam/HDPE/MB book hallucinations; speaker_format: clerk_to_je
3101,mixed,arey teacher ka Pay mint clear Shattering rent bharna hai,अरे ठेकेदार का पेमेंट क्लियर शटरिंग रेंट भरना है।,contractor/payment/shuttering hallucinations; speaker_format: ae_to_contractor
3102,mixed,sir PA ch ne samarseb motor ka cable manga water proff wire nahi hai,सर पीएचई ने सबमर्सिबल मोटर का केबल मांगा वाटरप्रूफ वायर नहीं है।,PHE/submersible/waterproof hallucinations; speaker_format: site_engineer_to_je
3103,mixed,abe Jalnam Pine line me HTTP use hoga Flash badalwa do,अबे जल निगम पाइप लाइन में एचडीपीई यूज़ होगा फ्लैंज बदलवा दो।,Jal Nigam/pipeline/HDPE/flange hallucinations; speaker_format: contractor_to_supervisor
3104,mixed,haan Kong create pump wapas bhej Stuttering khul gayi Why brater le aa,हाँ कंक्रीट पंप वापस भेज शटरिंग खुल गई वाइब्रेटर ले आ।,concrete/shuttering/vibrator hallucinations; speaker_format: je_to_labor
3105,mixed,ruk JSB aur High bar walo ka Pea mint kal thekadr dega,रुक जेसीबी और हाइवा वालों का पेमेंट कल ठेकेदार देगा।,JCB/Hyva/payment/contractor hallucinations; speaker_format: supervisor_to_clerk
3106,mixed,sun Poke lane se extra vision kar Jalgam 5 pin dalni hai,सुन पोकलेन से एक्सावेशन कर जल निगम पाइप लाइन डालनी है।,Poclain/excavation/Jal Nigam/pipeline hallucinations; speaker_format: contractor_to_operator
3107,mixed,arey Delhiगढ ae ne Papa line ka Ball band karwaya samarsbal mrt jal gayi,अरे जल निगम एई ने पाइप लाइन का वाल्व बंद करवाया सबमर्सिबल मोटर जल गई।,Jal Nigam/pipeline/valve/submersible hallucinations; speaker_format: je_to_ae
3108,mixed,sir Take a dar ne Kong create kam daali Stuttering level out hai,सर ठेकेदार ने कंक्रीट कम डाली शटरिंग लेवल आउट है।,contractor/concrete/shuttering hallucinations; speaker_format: site_engineer_to_ae
3109,mixed,abe teacher ko bol em bi book laaye Pay mint cash nahi milega,अबे ठेकेदार को बोल एमबी बुक लाये पेमेंट कैश नहीं मिलेगा।,contractor/MB book/payment hallucinations; speaker_format: clerk_to_je
3110,mixed,haan Peach he officer aaya water pruffing check kar samarseb motor chalu rakh,हाँ पीएचई अफसर आया वाटरप्रूफिंग चेक कर सबमर्सिबल मोटर चालू रख।,PHE/waterproofing/submersible hallucinations; speaker_format: je_to_contractor
3111,mixed,ruk Jalnam 5 pin test Flash fitting HDFC pipe leak,रुक जल निगम पाइप लाइन टेस्ट फ्लैंज फिटिंग एचडीपीई पाइप लीक।,Jal Nigam/pipeline/flange/HDPE hallucinations; speaker_format: supervisor_to_labor
3112,mixed,sun Juicy se mitti utha Highway load kar extra vision complete kar,सुन जेसीबी से मिट्टी उठा हाइवा लोड कर एक्सावेशन कम्पलीट कर।,JCB/Hyva/excavation hallucinations; speaker_format: contractor_to_operator
3113,mixed,arey Jalgam walo ne HTTP pipe reject kiya Pine line ka,अरे जल निगम वालों ने एचडीपीई पाइप रिजेक्ट किया पाइप लाइन का।,Jal Nigam/HDPE/pipeline hallucinations; speaker_format: je_to_ae
3114,mixed,sir Con create mix me paani zyada Met real fail gaya Wibrator mat chala,सर कंक्रीट मिक्स में पानी ज़्यादा मटेरियल फ़ैल गया वाइब्रेटर मत चला।,concrete/material/vibrator hallucinations; speaker_format: site_engineer_to_labor
3115,mixed,abe Take a dar ka Pea mint rok hajri me jhol hai em bi book dikha,अबे ठेकेदार का पेमेंट रोक हाज़िरी में झोल है एमबी बुक दिखा।,contractor/payment/MB book hallucinations; speaker_format: ae_to_clerk
3116,mixed,haan Delhiगढ Papa line Ball leak PA ch complain karega,हाँ जल निगम पाइप लाइन वाल्व लीक पीएचई कंप्लेंट करेगा।,Jal Nigam/pipeline/valve/PHE hallucinations; speaker_format: je_to_contractor
3117,mixed,ruk JSB aur Polythene ko diesel de extra vision delay ho rha,रुक जेसीबी और पोकलेन को डीजल दे एक्सावेशन डिले हो रहा।,JCB/Poclain/excavation hallucinations; speaker_format: supervisor_to_contractor
3118,mixed,sun teacher ne Shattering khol di Kong create kacha tha bhai,सुन ठेकेदार ने शटरिंग खोल दी कंक्रीट कच्चा था भाई।,contractor/shuttering/concrete hallucinations; speaker_format: site_engineer_to_ae
3119,mixed,arey Peach he approval mil gaya samarsbal mrt on kar water proff theek hai,अरे पीएचई अप्रूवल मिल गया सबमर्सिबल मोटर ऑन कर वाटरप्रूफ ठीक है।,PHE/submersible/waterproof hallucinations; speaker_format: je_to_supervisor
3120,mixed,sir Jalnam 5 pin Flash joint HDFC pipe Jalgam team aayegi,सर जल निगम पाइप लाइन फ्लैंज जॉइंट एचडीपीई पाइप जल निगम टीम आएगी।,Jal Nigam/pipeline/flange/HDPE hallucinations; speaker_format: ae_to_je
3121,mixed,abe Juicy puncture Poke lane se High bar me mitti bhar,अबे जेसीबी पंक्चर पोकलेन से हाइवा में मिट्टी भर।,JCB/Poclain/Hyva hallucinations; speaker_format: contractor_to_operator
3122,mixed,haan Take a dar Pay mint ke liye lad rha em bi book pending hai,हाँ ठेकेदार पेमेंट के लिए लड़ रहा एमबी बुक पेंडिंग है।,contractor/payment/MB book hallucinations; speaker_format: clerk_to_je
3123,mixed,ruk Delhiगढ walo ne Papa line Ball naya lagaya samarseb motor theek,रुक जल निगम वालों ने पाइप लाइन वाल्व नया लगाया सबमर्सिबल मोटर ठीक।,Jal Nigam/pipeline/valve/submersible hallucinations; speaker_format: supervisor_to_ae
3124,mixed,sun Con create truck late hai Stuttering support check kar Why brater rakh,सुन कंक्रीट ट्रक लेट है शटरिंग सपोर्ट चेक कर वाइब्रेटर रख।,concrete/shuttering/vibrator hallucinations; speaker_format: site_engineer_to_labor
3125,mixed,arey PA ch ko samarsbal mrt ka bill bhej water pruffing done,अरे पीएचई को सबमर्सिबल मोटर का बिल भेज वाटरप्रूफिंग डन।,PHE/submersible/waterproofing hallucinations; speaker_format: je_to_clerk
3126,mixed,sir Jalnam HTTP pipe shortage Pine line extra vision rok do,सर जल निगम एचडीपीई पाइप शार्टेज पाइप लाइन एक्सावेशन रोक दो।,Jal Nigam/HDPE/pipeline/excavation hallucinations; speaker_format: ae_to_contractor
3127,mixed,abe teacher Pea mint le gaya JSB operator ka hajri kon dega,अबे ठेकेदार पेमेंट ले गया जेसीबी ऑपरेटर का हाज़िरी कौन देगा?,contractor/payment/JCB hallucinations; speaker_format: clerk_to_je
3128,mixed,haan Jalgam 5 pin Flash fit kar HDFC joint pakka kar,हाँ जल निगम पाइप लाइन फ्लैंज फिट कर एचडीपीई जॉइंट पक्का कर।,Jal Nigam/pipeline/flange/HDPE hallucinations; speaker_format: supervisor_to_labor
3129,mixed,ruk Kong create dhalai chalu Shattering mat hilao Wibrator laao,रुक कंक्रीट ढलाई चालू शटरिंग मत हिलाओ वाइब्रेटर लाओ।,concrete/shuttering/vibrator hallucinations; speaker_format: site_engineer_to_contractor
3130,mixed,sun Poke lane Highway se mitti daal rhi extra vision ho gaya,सुन पोकलेन हाइवा से मिट्टी डाल रही एक्सावेशन हो गया।,Poclain/Hyva/excavation hallucinations; speaker_format: je_to_ae
3131,mixed,arey Delhiगढ ae Papa line Ball check karega water proff chhat,अरे जल निगम एई पाइप लाइन वाल्व चेक करेगा वाटरप्रूफ छत।,Jal Nigam/pipeline/valve/waterproof hallucinations; speaker_format: supervisor_to_contractor
3132,mixed,sir Take a dar em bi book sign nahi kiya Pay mint nahi jayega,सर ठेकेदार एमबी बुक साइन नहीं किया पेमेंट नहीं जाएगा।,contractor/MB book/payment hallucinations; speaker_format: clerk_to_je
3133,mixed,abe Peach he samarseb motor repair mang raha water pruffing sheet fat gayi,अबे पीएचई सबमर्सिबल मोटर रिपेयर मांग रहा वाटरप्रूफिंग शीट फट गई।,PHE/submersible/waterproofing hallucinations; speaker_format: ae_to_je
3134,mixed,haan Jalnam Pine line HDFC pipe Flash tight kar bhai,हाँ जल निगम पाइप लाइन एचडीपीई पाइप फ्लैंज टाइट कर भाई।,Jal Nigam/pipeline/HDPE/flange hallucinations; speaker_format: supervisor_to_labor
3135,mixed,ruk Con create pump fasa Juicy bula kar khincho Met real bacha hai,रुक कंक्रीट पंप फँसा जेसीबी बुला कर खींचो मटेरियल बचा है।,concrete/JCB/material hallucinations; speaker_format: site_engineer_to_contractor
3136,mixed,sun JSB aur Poke lane dono site pe extra vision kal khatam,सुन जेसीबी और पोकलेन दोनों साइट पे एक्सावेशन कल ख़त्म।,JCB/Poclain/excavation hallucinations; speaker_format: je_to_ae
3137,mixed,arey teacher ka Pea mint aa gaya em bi book final ho gayi,अरे ठेकेदार का पेमेंट आ गया एमबी बुक फाइनल हो गई।,contractor/payment/MB book hallucinations; speaker_format: clerk_to_contractor
3138,mixed,sir Jalgam 5 pin HTTP pipe test pass Flash theek nikla,सर जल निगम पाइप लाइन एचडीपीई पाइप टेस्ट पास फ्लैंज ठीक निकला।,Jal Nigam/pipeline/HDPE/flange hallucinations; speaker_format: je_to_ae
3139,mixed,abe Kong create setting ho gayi Shattering kal kholna Why brater wapas,अबे कंक्रीट सेटिंग हो गई शटरिंग कल खोलना वाइब्रेटर वापस।,concrete/shuttering/vibrator hallucinations; speaker_format: supervisor_to_labor
3140,mixed,haan Delhiगढ Papa line Ball kharab PA ch officer naraz,हाँ जल निगम पाइप लाइन वाल्व खराब पीएचई अफसर नाराज़।,Jal Nigam/pipeline/valve/PHE hallucinations; speaker_format: je_to_contractor
3141,mixed,ruk Take a dar ne samarsbal mrt chalu kiya water proff testing pass,रुक ठेकेदार ने सबमर्सिबल मोटर चालू किया वाटरप्रूफ टेस्टिंग पास।,contractor/submersible/waterproof hallucinations; speaker_format: site_engineer_to_ae
3142,mixed,sun JSB operator chutti pe Poke lane se Highway bharo,सुन जेसीबी ऑपरेटर छुट्टी पे पोकलेन से हाइवा भरो।,JCB/Poclain/Hyva hallucinations; speaker_format: contractor_to_supervisor
3143,mixed,arey Jalnam Pine line HDFC joint extra vision lamba hai,अरे जल निगम पाइप लाइन एचडीपीई जॉइंट एक्सावेशन लम्बा है।,Jal Nigam/pipeline/HDPE/excavation hallucinations; speaker_format: je_to_ae
3144,mixed,sir Con create waste hua Stuttering khuli thi Met real gaya,सर कंक्रीट वेस्ट हुआ शटरिंग खुली थी मटेरियल गया।,concrete/shuttering/material hallucinations; speaker_format: supervisor_to_contractor
3145,mixed,abe teacher Pay mint ke bina hajri nahi dega em bi book kahan hai,अबे ठेकेदार पेमेंट के बिना हाज़िरी नहीं देगा एमबी बुक कहाँ है?,contractor/payment/MB book hallucinations; speaker_format: clerk_to_je
3146,mixed,haan Peach he samarseb motor clearance diya water pruffing theek hai,हाँ पीएचई सबमर्सिबल मोटर क्लीयरेंस दिया वाटरप्रूफिंग ठीक है।,PHE/submersible/waterproofing hallucinations; speaker_format: je_to_ae
3147,mixed,ruk Jalgam walo ko HTTP pipe de 5 pin judai ke liye,रुक जल निगम वालों को एचडीपीई पाइप दे पाइप लाइन जुड़ाई के लिए।,Jal Nigam/HDPE/pipeline hallucinations; speaker_format: supervisor_to_labor
3148,mixed,sun Juicy se mitti la Highway me bhar extra vision bill bana,सुन जेसीबी से मिट्टी ला हाइवा में भर एक्सावेशन बिल बना।,JCB/Hyva/excavation hallucinations; speaker_format: contractor_to_clerk
3149,mixed,arey Delhiगढ Papa line Ball theek kar Flash naya laga,अरे जल निगम पाइप लाइन वाल्व ठीक कर फ्लैंज नया लगा।,Jal Nigam/pipeline/valve/flange hallucinations; speaker_format: je_to_labor
3150,mixed,sir Kong create dhal gaya Shattering rent de do Wibrator theek karo,सर कंक्रीट ढल गया शटरिंग रेंट दे दो वाइब्रेटर ठीक करो।,concrete/shuttering/vibrator hallucinations; speaker_format: contractor_to_je
3151,mixed,abe Take a dar Pea mint clear em bi book sign hajri done,अबे ठेकेदार पेमेंट क्लियर एमबी बुक साइन हाज़िरी डन।,contractor/payment/MB book hallucinations; speaker_format: clerk_to_supervisor
3152,pipeline,sir Jalgam walo ne 5 pin line me HDFC pipe manga hai,सर जल निगम वालों ने पाइप लाइन लाइन में एचडीपीई पाइप मांगा है।,Jal Nigam/pipeline/HDPE hallucinations; speaker_format: je_to_ae
3153,pipeline,abe Jalnam site pe Pine line laya HTTP pipe kahan chhod diya,अबे जल निगम साइट पे पाइप लाइन लाया एचडीपीई पाइप कहाँ छोड़ दिया?,Jal Nigam/pipeline/HDPE hallucinations; speaker_format: contractor_to_supervisor
3154,pipeline,haan sir Delhigarh inspection me Papa line fat gaya Flash check kar,हाँ सर जल निगम इंस्पेक्शन में पाइप लाइन फट गया फ्लैंज चेक कर।,Jal Nigam/pipeline/flange hallucinations; speaker_format: je_to_ae
3155,pipeline,ruk Jali gum walo ko bol 5 pin ka Ball band kare paani aa rha,रुक जल निगम वालों को बोल पाइप लाइन का वाल्व बंद करे पानी आ रहा।,Jal Nigam/pipeline/valve hallucinations; speaker_format: supervisor_to_labor
3156,pipeline,sun bhai Jalnam ka Pine line kal joodna hai HDFC tender paas hua,सुन भाई जल निगम का पाइप लाइन कल जोड़ना है एचडीपीई टेंडर पास हुआ।,Jal Nigam/pipeline/HDPE hallucinations; speaker_format: contractor_to_je
3157,pipeline,arey Jalgam se call tha 5 pin leakage ka Flash dhila hai,अरे जल निगम से कॉल था पाइप लाइन लीकेज का फ्लैंज ढीला है।,Jal Nigam/pipeline/flange hallucinations; speaker_format: ae_to_je
3158,pipeline,sir Delhigarh ka Papa line test fail Ball se paani nikal raha hai,सर जल निगम का पाइप लाइन टेस्ट फेल वाल्व से पानी निकल रहा है।,Jal Nigam/pipeline/valve hallucinations; speaker_format: site_engineer_to_ae
3159,pipeline,abe Jalnam wala HTTP pipe laao Piper line me jodna baki hai,अबे जल निगम वाला एचडीपीई पाइप लाओ पाइप लाइन में जोड़ना बाकी है।,Jal Nigam/HDPE/pipeline hallucinations; speaker_format: supervisor_to_helper
3160,pipeline,haan sir Jalgam wale 5 pin flush kar rahe Flash kachra nikal gaya,हाँ सर जल निगम वाले पाइप लाइन फ्लश कर रहे फ्लैंज कचरा निकल गया।,Jal Nigam/pipeline/flange hallucinations; speaker_format: je_to_ae
3161,pipeline,ruk Delhigarh ae ko bata Papa line ka Ball dhila hai theek kare,रुक जल निगम एई को बता पाइप लाइन का वाल्व ढीला है ठीक करे।,Jal Nigam/pipeline/valve hallucinations; speaker_format: contractor_to_supervisor
3162,rcc_work,sun bhai Kong create plant se nikli Shattering check kar Why brater laga,सुन भाई कंक्रीट प्लांट से निकली शटरिंग चेक कर वाइब्रेटर लगा।,concrete/shuttering/vibrator hallucinations; speaker_format: supervisor_to_labor
3163,rcc_work,arey Con create mix me paani kam hai Stuttering fat jayega Mad real waste mat kar,अरे कंक्रीट मिक्स में पानी कम है शटरिंग फट जाएगा मटेरियल वेस्ट मत कर।,concrete/shuttering/material hallucinations; speaker_format: site_engineer_to_labor
3164,rcc_work,sir Kong create pump fas gaya Shattering oil lagao Why brater jaldi nikalo,सर कंक्रीट पंप फँस गया शटरिंग ऑइल लगाओ वाइब्रेटर जल्दी निकालो।,concrete/shuttering/vibrator hallucinations; speaker_format: supervisor_to_je
3165,rcc_work,abe Con create delay hai Stuttering thok do Met real aane wala hai bhai,अबे कंक्रीट डिले है शटरिंग ठोक दो मटेरियल आने वाला है भाई।,concrete/shuttering/material hallucinations; speaker_format: contractor_to_supervisor
3166,rcc_work,haan Kong create truck aa gaya Shattering support dekh Wibrator chalu kar de,हाँ कंक्रीट ट्रक आ गया शटरिंग सपोर्ट देख वाइब्रेटर चालू कर दे।,concrete/shuttering/vibrator hallucinations; speaker_format: je_to_contractor
3167,rcc_work,ruk bhai Con create jam raha hai Stuttering mat kholna Mad real kacha hai abhi,रुक भाई कंक्रीट जम रहा है शटरिंग मत खोलना मटेरियल कच्चा है अभी।,concrete/shuttering/material hallucinations; speaker_format: supervisor_to_labor
3168,rcc_work,sun Kong create dhalai me Why brater short pad gaya Shattering theek karo sir,सुन कंक्रीट ढलाई में वाइब्रेटर शार्ट पड़ गया शटरिंग ठीक करो सर।,concrete/vibrator/shuttering hallucinations; speaker_format: contractor_to_ae
3169,rcc_work,arey Con create setting baki hai Stuttering kal khulega Met real ghatiya tha yaar,अरे कंक्रीट सेटिंग बाकी है शटरिंग कल खुलेगा मटेरियल घटिया था यार।,concrete/shuttering/material hallucinations; speaker_format: site_engineer_to_je
3170,rcc_work,sir Kong create gaadi ruki hai Shattering khuli reh gayi Why brater kahan hai abe,सर कंक्रीट गाड़ी रुकी है शटरिंग खुली रह गई वाइब्रेटर कहाँ है अबे?,concrete/shuttering/vibrator hallucinations; speaker_format: supervisor_to_je
3171,rcc_work,abe Con create waste mat kar Stuttering pack kar Mad real cost badh jayega kal,अबे कंक्रीट वेस्ट मत कर शटरिंग पैक कर मटेरियल कॉस्ट बढ़ जाएगा कल।,concrete/shuttering/material hallucinations; speaker_format: contractor_to_supervisor
3172,machinery,abe Juicy operator ko bol Poke lane se mitti uthaye Highway pe load kare,अबे जेसीबी ऑपरेटर को बोल पोकलेन से मिट्टी उठाये हाइवा पे लोड करे।,JCB/Poclain/Hyva hallucinations; speaker_format: contractor_to_supervisor
3173,earthwork,haan sir JSB se extra vision shuru kiya Polythene kal aayegi site pe,हाँ सर जेसीबी से एक्सावेशन शुरू किया पोकलेन कल आएगी साइट पे।,JCB/excavation/Poclain hallucinations; speaker_format: je_to_ae
3174,earthwork,ruk Jay CB ka diesel khatam High bar khada hai Exhibition rok do bhai,रुक जेसीबी का डीजल खत्म हाइवा खड़ा है एक्सावेशन रोक दो भाई।,JCB/Hyva/excavation hallucinations; speaker_format: supervisor_to_contractor
3175,machinery,sun bhai Juicy ka tyre puncture Poke lane bhejo Highway load karna hai jaldi,सुन भाई जेसीबी का टायर पंक्चर पोकलेन भेजो हाइवा लोड करना है जल्दी।,JCB/Poclain/Hyva hallucinations; speaker_format: operator_to_contractor
3176,earthwork,arey JSB se trench khodo Polythene extra vision kar degi aaj shaam tak,अरे जेसीबी से ट्रेंच खोदो पोकलेन एक्सावेशन कर देगी आज शाम तक।,JCB/Poclain/excavation hallucinations; speaker_format: site_engineer_to_operator
3177,earthwork,sir Jay CB wapas bhejo High bar me mitti load kar Exhibition khatam karo,सर जेसीबी वापस भेजो हाइवा में मिट्टी लोड कर एक्सावेशन ख़त्म करो।,JCB/Hyva/excavation hallucinations; speaker_format: je_to_contractor
3178,machinery,abe Juicy so rha hai Poke lane se mitti khali kar Highway me daal,अबे जेसीबी सो रहा है पोकलेन से मिट्टी खाली कर हाइवा में डाल।,JCB/Poclain/Hyva hallucinations; speaker_format: supervisor_to_labor
3179,earthwork,haan JSB aur Polythene fuel mang rahe extra vision chalu hai sir,हाँ जेसीबी और पोकलेन फ्यूल मांग रहे एक्सावेशन चालू है सर।,JCB/Poclain/excavation hallucinations; speaker_format: je_to_ae
3180,earthwork,ruk Jay CB ko hatao High bar aane do Exhibition depth check kar le,रुक जेसीबी को हटाओ हाइवा आने दो एक्सावेशन डेप्थ चेक कर ले।,JCB/Hyva/excavation hallucinations; speaker_format: site_engineer_to_supervisor
3181,machinery,sun Juicy operator gayab Poke lane shuru karo Highway ko rasta do bhai,सुन जेसीबी ऑपरेटर गायब पोकलेन शुरू करो हाइवा को रास्ता दो भाई।,JCB/Poclain/Hyva hallucinations; speaker_format: contractor_to_supervisor
3182,billing,sun teacher ka Pay mint bacha hai em bi book clerk ke paas hai abhi,सुन ठेकेदार का पेमेंट बचा है एमबी बुक क्लर्क के पास है अभी।,contractor/payment/MB book hallucinations; speaker_format: je_to_supervisor
3183,billing,arey Take a dar bol raha Bill nahi aya hajri register bhej do jaldi,अरे ठेकेदार बोल रहा बिल नहीं आया हाज़िरी रजिस्टर भेज दो जल्दी।,contractor/bill/attendance hallucinations; speaker_format: clerk_to_je
3184,billing,sir thekadr ka Pea mint rok do em bi book me entry galat hai poori,सर ठेकेदार का पेमेंट रोक दो एमबी बुक में एंट्री गलत है पूरी।,contractor/payment/MB book hallucinations; speaker_format: site_engineer_to_ae
3185,billing,abe teacher ka Bill pass ho gaya hajri match nahi kar rhi thi,अबे ठेकेदार का बिल पास हो गया हाज़िरी मैच नहीं कर रही थी।,contractor/bill/attendance hallucinations; speaker_format: clerk_to_je
3186,billing,haan Take a dar advance mang rha Pay mint delay hai em bi book sign karwa lo,हाँ ठेकेदार एडवांस मांग रहा पेमेंट डिले है एमबी बुक साइन करवा लो।,contractor/payment/MB book hallucinations; speaker_format: je_to_clerk
3187,billing,ruk thekadr bhag gaya Pea mint fas gaya hajri kaun verify karega ab,रुक ठेकेदार भाग गया पेमेंट फँस गया हाज़िरी कौन वेरीफाई करेगा अब?,contractor/payment/attendance hallucinations; speaker_format: supervisor_to_je
3188,billing,sun teacher ka Pay mint online hoga em bi book photo khichwa lo kal,सुन ठेकेदार का पेमेंट ऑनलाइन होगा एमबी बुक फोटो खिंचवा लो कल।,contractor/payment/MB book hallucinations; speaker_format: clerk_to_contractor
3189,billing,arey Take a dar meeting me hai Bill submit nahi hua hajri copy la de,अरे ठेकेदार मीटिंग में है बिल सबमिट नहीं हुआ हाज़िरी कॉपी ला दे।,contractor/bill/attendance hallucinations; speaker_format: je_to_clerk
3190,billing,sir thekadr ka Pea mint kat gaya em bi book verify ki hajri fraud thi sir,सर ठेकेदार का पेमेंट कट गया एमबी बुक वेरीफाई की हाज़िरी फ्रॉड थी सर।,contractor/payment/MB book hallucinations; speaker_format: ae_to_clerk
